"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","35707","Login with valid credentials and delete account","","2026-02-09","failed","2026-02-09","","","",""
"","8218","Register new user and delete account","","2026-02-09","passed","2026-02-09","","","",""
